Name,0-LUT,1-LUT,2-LUT,3-LUT,4-LUT,5-LUT,6-LUT,Input,Output,.latch,.names,FPGA Width,First Pass Delay,Estimated Critical Path Delay,Channel Width,Av. Wire Segments, Max Wire Segments,Total Logic Block Area,Used Logic Block Area,Total Routing Area,Segment Usage,Critical Path,VPR Time
Minimum Width s38417 TMR,0,204,873,7630,9525,0,0,29,106,4389,18232,51,1.39E-08,6.39E-09,50,3.96346,152,3.85E+07,2.84E+07,1.44E+07,0.613,6.80E-09,7381.12
Minimum Width s38584.1,12,9,1600,1167,3389,0,0,38,304,1260,6177,30,7.35E-09,4.65E-09,44,4.22808,296,1.33E+07,9.54E+06,4.31E+06,0.692,4.99E-09,459.989
Minimum Width s38584.1 TMR,36,27,4800,3805,10167,0,0,38,304,3780,18835,52,1.18E-08,6.15E-09,56,4.69062,719,4.01E+07,2.90E+07,1.61E+07,0.641,6.39E-09,2790.9
Minimum Width seq,0,0,129,584,1037,0,0,41,35,0,1750,16,4.85E-09,3.88E-09,46,5.86111,78,3.79E+06,2.59E+06,1.31E+06,0.71,4.84E-09,105.526
Minimum Width seq TMR,0,0,387,1787,3111,0,0,41,35,0,5285,27,7.45E-09,4.92E-09,58,6.68624,197,1.08E+07,7.84E+06,4.53E+06,0.71,5.26E-09,448.058
Minimum Width spla,0,0,53,892,2745,0,0,16,46,0,3690,23,7.11E-09,5.05E-09,54,7.08891,139,7.84E+06,5.47E+06,3.15E+06,0.767,6.95E-09,357.396
Minimum Width spla TMR,0,0,159,2722,8235,0,0,16,46,0,11116,39,1.00E-08,6.42E-09,66,6.92343,300,2.25E+07,1.65E+07,1.09E+07,0.688,6.90E-09,1320.57
Minimum Width tseng,0,0,132,283,631,0,0,52,122,385,1046,13,7.19E-09,5.81E-09,34,3.63807,41,2.50E+06,1.59E+06,7.22E+05,0.612,6.15E-09,49.618
Minimum Width tseng TMR,0,0,396,971,1893,0,0,52,122,1155,3260,22,7.94E-09,5.95E-09,42,4.36026,147,7.17E+06,4.90E+06,2.27E+06,0.68,6.15E-09,183.167
Width 60 alu4,0,0,121,446,955,0,0,14,8,0,1522,15,4.71E-09,4.09E-09,6.00E+01,4.79098,75,3.33E+06,2.27E+06,7029.98,0.369,4.15E-09,22.625
Width 60 alu4TMR,0,0,363,1346,2865,0,0,14,8,0,4574,25,6.76E-09,5.13E-09,6.00E+01,5.38017,185,9.26E+06,6.78E+06,6911.6,0.494,5.19E-09,101.828
Width 60 apex2,0,0,117,589,1172,0,0,38,3,0,1878,16,5.53E-09,4.51E-09,6.00E+01,5.53926,67,3.79E+06,2.78E+06,7059.8,0.553,4.71E-09,34.256
Width 60 apex2TMR,0,0,351,1770,3516,0,0,38,3,0,5637,29,8.26E-09,6.15E-09,6.00E+01,6.34397,191,1.25E+07,8.35E+06,6776.89,0.628,6.08E-09,153.485
Width 60 apex4,1,0,23,538,700,0,0,9,19,0,1262,14,4.29E-09,3.88E-09,6.00E+01,5.13079,61,2.90E+06,1.88E+06,7068.06,0.492,4.14E-09,20.928
Width 60 apex4TMR,3,0,69,1633,2100,0,0,9,19,0,3805,23,6.41E-09,4.91E-09,6.00E+01,5.66967,182,7.84E+06,5.64E+06,6847.03,0.639,5.04E-09,90.166
Width 60 bigkey,0,0,342,4,1353,0,0,229,197,224,1699,16,2.99E-09,2.31E-09,6.00E+01,3.79333,72,3.79E+06,2.52E+06,7059.8,0.364,2.37E-09,43.024
Width 60 bigkeyTMR,0,0,1026,209,4059,0,0,229,197,672,5294,27,3.95E-09,2.75E-09,6.00E+01,5.12677,213,1.08E+07,7.85E+06,6817.2,0.518,2.75E-09,154.662
Width 60 clma,1,0,527,2040,5797,0,0,62,82,33,8365,34,1.35E-08,8.67E-09,6.00E+01,,,,,,,,582.871
Width 60 clmaTMR,3,0,1581,6202,17391,0,0,62,82,99,25177,59,1.88E-08,9.25E-09,6.00E+01,,,,,,,,8371.95
Width 60 des,0,0,88,323,1180,0,0,256,245,0,1591,16,4.84E-09,3.75E-09,6.00E+01,4.15635,55,3.79E+06,2.37E+06,7059.8,0.423,3.89E-09,50.68
Width 60 desTMR,0,0,264,1214,3540,0,0,256,245,0,5018,27,6.75E-09,4.21E-09,6.00E+01,4.07778,114,1.08E+07,7.44E+06,6817.2,0.481,4.35E-09,141.366
Width 60 diffeq,0,0,141,440,913,0,0,64,39,377,1494,15,7.67E-09,6.30E-09,6.00E+01,3.20978,61,3.33E+06,2.27E+06,7029.98,0.365,6.64E-09,28.392
Width 60 diffeqTMR,0,0,423,1359,2739,0,0,64,39,1131,4521,25,8.69E-09,6.43E-09,6.00E+01,3.60614,149,9.26E+06,6.83E+06,6911.6,0.468,6.77E-09,115.085
Width 60 dsip,0,0,2,4,1356,0,0,229,197,224,1362,14,2.85E-09,2.17E-09,6.00E+01,3.84115,60,2.90E+06,2.03E+06,7068.06,0.332,2.31E-09,36.32
Width 60 dsipTMR,0,0,6,209,4068,0,0,229,197,672,4283,24,3.54E-09,2.78E-09,6.00E+01,4.87989,190,8.53E+06,6.35E+06,6926.17,0.419,2.72E-09,118.515
Width 60 elliptic,0,0,433,1024,2145,0,0,131,114,1122,3602,23,9.04E-09,7.19E-09,6.00E+01,4.76756,152,7.84E+06,5.47E+06,6847.03,0.529,7.33E-09,101.398
Width 60 ellipticTMR,0,0,1299,3186,6435,0,0,131,114,3366,10920,39,1.14E-08,7.34E-09,6.00E+01,5.74891,495,2.25E+07,1.66E+07,6739.72,0.681,7.54E-09,475.005
Width 60 ex1010,0,0,190,1944,2464,0,0,10,10,0,4598,25,7.52E-09,5.53E-09,6.00E+01,, ,,,,,,38375.1
Width 60 ex1010TMR,0,0,570,5842,7392,0,0,10,10,0,13804,44,1.10E-08,7.11E-09,6.00E+01,, ,,,,,,673.237
Width 60 ex5p,0,0,45,227,792,0,0,8,63,0,1064,13,4.77E-09,3.89E-09,6.00E+01,5.29429,62,2.50E+06,1.59E+06,7118.14,0.525,4.14E-09,18.899
Width 60 ex5pTMR,0,0,135,744,2376,0,0,8,63,0,3255,22,6.96E-09,5.19E-09,6.00E+01,, ,,,,,,103.991
Width 60 frisc,0,0,276,965,2298,0,0,20,116,886,3539,23,1.47E-08,1.03E-08,6.00E+01,6.17131,126,7.84E+06,5.32E+06,6847.03,0.627,1.06E-08,107.33
Width 60 friscTMR,0,0,828,3011,6894,0,0,20,116,2658,10733,39,1.98E-08,1.05E-08,6.00E+01,, ,,,,,,740.266
Width 60 misex3,0,0,66,502,829,0,0,14,14,0,1397,14,4.50E-09,4.09E-09,6.00E+01,4.99571,62,2.90E+06,2.07E+06,7068.06,0.457,4.15E-09,21.286
Width 60 misex3TMR,0,0,198,1520,2487,0,0,14,14,0,4205,24,7.11E-09,5.00E-09,6.00E+01,5.64103,160,8.53E+06,6.24E+06,6926.17,0.576,5.06E-09,91.433
Width 60 pdc,0,0,84,979,3512,0,0,16,40,0,4575,25,7.73E-09,5.60E-09,6.00E+01,, ,,,,,,197.949
Width 60 pdcTMR,0,0,252,2977,10536,0,0,16,40,0,13765,44,1.20E-08,7.46E-09,6.00E+01,, ,,,,,,1356
Width 60 s298,0,0,172,432,1326,0,0,4,6,8,1930,17,1.05E-08,7.97E-09,6.00E+01,4.62137,82,4.28E+06,2.87E+06,7031.05,0.28,8.18E-09,27.868
Width 60 s298TMR,0,0,516,1302,3978,0,0,4,6,24,5796,29,1.27E-08,8.26E-09,6.00E+01,4.75444,246,1.25E+07,8.61E+06,6776.89,0.335,8.46E-09,120.257
Width 60 s38417,0,68,291,2508,3175,0,0,29,106,1463,6042,30,9.87E-09,5.97E-09,6.00E+01,3.66998,148,1.33E+07,9.42E+06,6811.24,0.433,6.24E-09,172.413
Width 60 s38417TMR,0,204,873,7630,9525,0,0,29,106,4389,18232,51,1.39E-08,6.18E-09,6.00E+01,3.87309,142,3.85E+07,2.84E+07,6695.57,0.5,6.52E-09,758.585
Width 60 s38584.1,12,9,1600,1167,3389,0,0,38,304,1260,6177,30,7.57E-09,4.65E-09,6.00E+01,3.83166,265,1.33E+07,9.54E+06,6811.24,0.46,4.95E-09,195.832
Width 60 s38584.1TMR,36,27,4800,3805,10167,0,0,38,304,3780,18835,52,1.09E-08,6.02E-09,6.00E+01,4.67375,757,4.01E+07,2.90E+07,6681.72,0.596,6.29E-09,944.364
Width 60 seq,0,0,129,584,1037,0,0,41,35,0,1750,16,4.69E-09,3.87E-09,6.00E+01,5.30778,73,3.79E+06,2.59E+06,7059.8,0.493,4.09E-09,32.426
Width 60 seqTMR,0,0,387,1787,3111,0,0,41,35,0,5285,27,6.76E-09,5.26E-09,6.00E+01,6.56298,224,1.08E+07,7.84E+06,6817.2,0.674,5.33E-09,149.187
Width 60 spla,0,0,53,892,2745,0,0,16,46,0,3690,23,7.39E-09,5.11E-09,6.00E+01,6.46323,99,7.84E+06,5.47E+06,6847.03,0.629,5.32E-09,86.03
Width 60 splaTMR,0,0,159,2722,8235,0,0,16,46,0,11116,39,1.02E-08,6.50E-09,6.00E+01,, ,,,,,,644.354
Width 60 tseng,0,0,132,283,631,0,0,52,122,385,1046,13,6.70E-09,5.81E-09,6.00E+01,3.22621,51,2.50E+06,1.59E+06,7118.14,0.308,6.22E-09,20.384
Width 60 tsengTMR,0,0,396,971,1893,0,0,52,122,1155,3260,22,8.01E-09,5.81E-09,6.00E+01,3.93092,124,7.17E+06,4.90E+06,6862.35,0.429,6.08E-09,79.889
results_w-1\alu4.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,40,8.68E-09,3.95E-09,40,4.93835,57,2.37E+07,2.27E+06,4484.46,0.0931,4.42E-09,188.578
results_w-1\alu4TMR.blif.txt,0,0,363,1346,2865,0,0,14,8,0,4574,40,8.88E-09,5.05E-09,48,5.76831,190,2.37E+07,6.78E+06,5312.59,0.274,5.40E-09,310.261
results_w-1\apex2.blif.txt,0,0,117,589,1172,0,0,38,3,0,1878,40,9.02E-09,4.57E-09,44,5.91942,89,2.37E+07,2.78E+06,4755.32,0.148,4.83E-09,318.266
results_w-1\apex2TMR.blif.txt,0,0,351,1770,3516,0,0,38,3,0,5637,40,9.31E-09,5.93E-09,58,6.34677,196,2.37E+07,8.35E+06,6154.77,0.354,6.00E-09,1177.98
results_w-1\apex4.blif.txt,1,0,23,538,700,0,0,9,19,0,1262,40,7.30E-09,3.88E-09,48,5.73161,63,2.37E+07,1.88E+06,5312.59,0.0994,4.21E-09,172.493
results_w-1\apex4TMR.blif.txt,3,0,69,1633,2100,0,0,9,19,0,3805,40,9.01E-09,4.85E-09,58,5.46446,163,2.37E+07,5.64E+06,6154.77,0.226,5.26E-09,558.377
results_w-1\bigkey.blif.txt,0,0,342,4,1353,0,0,229,197,224,1699,40,4.77E-09,2.24E-09,46,4.72336,70,2.37E+07,2.52E+06,4893.44,0.108,2.44E-09,242.135
results_w-1\bigkeyTMR.blif.txt,0,0,1026,209,4059,0,0,229,197,672,5294,40,5.11E-09,2.61E-09,50,5.66876,189,2.37E+07,7.85E+06,5580.69,0.328,2.97E-09,496.39
results_w-1\clma.blif.txt,1,0,527,2040,5797,0,0,62,82,33,8365,40,1.55E-08,8.65E-09,68,6.00083,272,2.37E+07,1.24E+07,7309.34,0.485,8.91E-09,3077.08
results_w-1\clmaTMR.blif.txt,3,0,1581,6202,17391,0,0,62,82,99,25177,40,,,,,,,,,,,
results_w-1\des.blif.txt,0,0,88,323,1180,0,0,256,245,0,1591,40,7.16E-09,3.74E-09,40,5.1736,58,2.37E+07,2.37E+06,4484.46,0.145,4.23E-09,267.251
results_w-1\desTMR.blif.txt,0,0,264,1214,3540,0,0,256,245,0,5018,40,8.33E-09,4.29E-09,40,4.82727,144,2.37E+07,7.44E+06,4484.46,0.407,4.63E-09,878.429
results_w-1\diffeq.blif.txt,0,0,141,440,913,0,0,64,39,377,1494,40,1.02E-08,6.37E-09,34,4.24134,74,2.37E+07,2.27E+06,4057.97,0.139,6.50E-09,252.483
results_w-1\diffeqTMR.blif.txt,0,0,423,1359,2739,0,0,64,39,1131,4521,40,1.04E-08,6.22E-09,42,4.14422,203,2.37E+07,6.83E+06,4622.14,0.317,6.43E-09,572.999
results_w-1\dsip.blif.txt,0,0,2,4,1356,0,0,229,197,224,1362,40,4.84E-09,2.36E-09,46,4.75946,66,2.37E+07,2.03E+06,4893.44,0.0776,2.36E-09,200.209
results_w-1\dsipTMR.blif.txt,0,0,6,209,4068,0,0,229,197,672,4283,40,4.63E-09,2.44E-09,38,5.53621,150,2.37E+07,6.35E+06,4339.08,0.288,2.92E-09,523.696
results_w-1\elliptic.blif.txt,0,0,433,1024,2145,0,0,131,114,1122,3602,40,1.22E-08,7.07E-09,50,5.70741,203,2.37E+07,5.47E+06,5580.69,0.269,7.33E-09,442.943
results_w-1\ellipticTMR.blif.txt,0,0,1299,3186,6435,0,0,131,114,3366,10920,40,1.16E-08,7.27E-09,60,5.72179,435,2.37E+07,1.66E+07,6757.53,0.646,7.54E-09,1566.64
results_w-1\ex1010.blif.txt,0,0,190,1944,2464,0,0,10,10,0,4598,40,9.15E-09,5.65E-09,62,5.5375,159,2.37E+07,6.81E+06,6897.47,0.266,6.19E-09,1108.01
results_w-1\ex1010TMR.blif.txt,0,0,570,5842,7392,0,0,10,10,0,13804,40,,,,,,,,,,,
